"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-25","91.8","-2.09","5.85","Mookie Betts",605141,542882,"null","ball",,,,,"12","null","R","R","R","LAD","LAA","B","null","null",0,2,2020,"-0.71","1.50","0.30","4.84","null","null","null",1,6,"Bot","null","null",,,"545358",,"null",7.513253303457141,-133.4740340850645,0.07602643630264183,-10.114528249023927,29.520302218822003,-14.571591979957393,"3.23","1.50","null","null","null","90.8","2385","5.8",631336,542882,"545358","665120","650859","543685","664058","457708","545361","621493","54.72","null","null","null","null","null","null","null",54,"3","4-Seam Fastball",6,5,6,5,5,6,6,5,"Infield shift","Standard"
"CU","2020-09-25","80.4","-1.96","5.96","Mookie Betts",605141,542882,"null","called_strike",,,,,"9","null","R","R","R","LAD","LAA","S","null","null",0,1,2020,"0.65","-1.32","0.71","1.97","null","null","null",1,6,"Bot","null","null",,,"545358",,"null",4.613697090001159,-116.96855278505987,0.38772908066219736,4.985773222103383,24.240509036596862,-44.55133028234184,"3.19","1.50","null","null","null","79.0","2710","5.5",631336,542882,"545358","665120","650859","543685","664058","457708","545361","621493","54.97","null","null","null","null","null","null","null",54,"2","Curveball",6,5,6,5,5,6,6,5,"Infield shift","Standard"
"FF","2020-09-25","91.2","-2.23","5.74","Mookie Betts",605141,542882,"null","called_strike",,,,,"6","null","R","R","R","LAD","LAA","S","null","null",0,0,2020,"-0.79","1.41","0.76","2.28","null","null","null",1,6,"Bot","null","null",,,"545358",,"null",9.128851300016068,-132.440085686833,-5.769147653164126,-11.234547713546087,28.724871503396674,-14.525918150398656,"3.24","1.50","null","null","null","90.4","2289","6.0",631336,542882,"545358","665120","650859","543685","664058","457708","545361","621493","54.54","null","null","null","null","null","null","null",54,"1","4-Seam Fastball",6,5,6,5,5,6,6,5,"Infield shift","Standard"
"FF","2020-09-25","91.7","3.08","5.10","Mookie Betts",605141,571760,"walk","ball",,,,,"11","Mookie Betts walks.  ","R","R","L","LAD","LAA","B","null","null",3,2,2020,"1.16","1.24","-1.14","2.65","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-13.092432885935635,-132.9044926077601,-2.9416620958616333,16.642480126473245,29.559235682082313,-17.005987656526823,"3.23","1.50","null","null","null","91.0","2512","6.2",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.34","null","null","0.70",1,0,0,"null",38,"9","4-Seam Fastball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CU","2020-09-25","77.0","3.12","5.34","Mookie Betts",605141,571760,"null","foul",,,,,"13","null","R","R","L","LAD","LAA","S","null","null",3,2,2020,"-0.89","-0.42","-0.22","1.20","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-5.403473746412248,-112.13988234505598,-1.0705146753227022,-6.580446988134159,19.77904135754998,-35.76043900979937,"3.21","1.50","8","85.6","-12","76.2","2590","5.6",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.90","null","null","null","null","null","null","null",38,"8","Curveball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CH","2020-09-25","84.9","3.08","5.14","Mookie Betts",605141,571760,"null","ball",,,,,"13","null","R","R","L","LAD","LAA","B","null","null",2,2,2020,"1.40","0.70","-0.80","-0.01","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-11.822731627652983,-122.91541440384434,-7.052201718979258,16.479838680049525,23.829339991891654,-23.814344708626955,"3.19","1.50","null","null","null","84.6","2058","6.3",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.20","null","null","null","null","null","null","null",38,"7","Changeup",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CU","2020-09-25","79.5","3.22","5.24","Mookie Betts",605141,571760,"null","foul",,,,,"13","null","R","R","L","LAD","LAA","S","null","null",2,2,2020,"-0.50","-0.51","-1.16","1.68","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-8.635083181055796,-115.53341703683671,-0.08470185189968427,-2.9084848721546512,21.24438270010276,-36.91144516896769,"3.21","1.50","330","101.7","27","79.1","2583","6.1",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.41","null","null","null","null","null","null","null",38,"6","Curveball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CU","2020-09-25","79.2","3.08","5.27","Mookie Betts",605141,571760,"null","foul",,,,,"13","null","R","R","L","LAD","LAA","S","null","null",2,2,2020,"-0.63","-0.34","-1.15","1.26","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-7.955129761355399,-115.12687536920288,-1.3379220496327546,-4.165193303741207,21.14862306853782,-35.19323224875462,"3.21","1.50","10","84.3","-9","78.3","2577","5.7",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.80","null","null","null","null","null","null","null",38,"5","Curveball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"CH","2020-09-25","83.8","3.18","5.12","Mookie Betts",605141,571760,"null","ball",,,,,"14","null","R","R","L","LAD","LAA","B","null","null",1,2,2020,"1.43","0.56","0.53","0.48","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-8.937626732241261,-121.7145298327507,-5.390579614664335,16.010394832628236,23.7825788119807,-25.714476323069327,"3.23","1.50","null","null","null","83.5","2098","6.2",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.30","null","null","null","null","null","null","null",38,"4","Changeup",3,4,3,4,4,3,3,4,"Infield shift","Standard"
"FF","2020-09-25","91.8","3.12","5.15","Mookie Betts",605141,571760,"null","ball",,,,,"11","null","R","R","L","LAD","LAA","B","null","null",0,2,2020,"1.23","1.25","-1.15","3.86","null","null","null",2,4,"Bot","null","null",,,"545358",,"null",-13.33718544830895,-133.08804698270822,-0.09973313567756159,17.421563431715978,28.495554155396448,-17.477021238736217,"3.27","1.50","null","null","null","91.2","2488","6.1",631336,571760,"545358","665120","650859","543685","664058","457708","545361","621493","54.38","null","null","null","null","null","null","null",38,"3","4-Seam Fastball",3,4,3,4,4,3,3,4,"Infield shift","Standard"
