"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-23","96.1","-1.93","5.91","Michael Conforto",624424,607192,"null","swinging_strike",,,,,"11","null","R","L","R","NYM","TB","S","null","null",2,1,2020,"-0.44","1.52","-0.29","3.72","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",5.438073856619203,-139.9051943924584,-3.760089279617978,-6.936052800342949,29.83189631920332,-11.465821308455366,"3.07","1.46","null","null","null","98.3","2319","7.4",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.11","null","null","null","null","null","null","null",43,"4","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2020-09-23","95.3","-1.84","5.93","Michael Conforto",624424,607192,"null","foul_tip",,,,,"3","null","R","L","R","NYM","TB","S","null","null",2,0,2020,"-0.37","1.55","0.46","3.04","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",7.028404972432537,-138.66045588476632,-5.603862849801669,-6.219113791949188,29.10572275947151,-11.047036706968218,"3.07","1.46","null","null","null","97.8","2495","7.5",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","52.96","null","null","null","null","null","null","null",43,"3","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"CH","2020-09-23","90.1","-1.96","5.89","Michael Conforto",624424,607192,"null","ball",,,,,"11","null","R","L","R","NYM","TB","B","null","null",1,0,2020,"-1.09","0.99","-0.57","3.49","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",5.8620976858177185,-131.08651147186188,-2.1590470004011233,-13.778422517582664,26.41951886857605,-20.470883739205085,"3.18","1.51","null","null","null","91.9","1767","7.2",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.25","null","null","null","null","null","null","null",43,"2","Changeup",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2020-09-23","97.3","-1.94","5.99","Michael Conforto",624424,607192,"null","ball",,,,,"4","null","R","L","R","NYM","TB","B","null","null",0,0,2020,"-0.37","1.49","-0.77","2.47","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",4.106091382456935,-141.48929281865,-7.5032979323320195,-5.962837915193534,31.902440271900435,-10.597641356497943,"3.13","1.39","null","null","null","99.4","2370","7.5",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.03","null","null","null","null","null","null","null",43,"1","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2020-09-23","98.2","-1.64","5.93","Brandon Nimmo",607043,607192,"field_out","hit_into_play",,,,,"6","Brandon Nimmo lines out to right fielder Hunter Renfroe.  ","R","L","R","NYM","TB","X",9,"line_drive",3,2,2020,"-0.07","1.43","0.43","2.54","null","null","null",2,5,"Bot","180.88","101.96",,,"572287",,"null",5.908335485362553,-142.81346311082635,-7.206448402885277,-2.250120726813094,30.281048670445813,-11.164780975812988,"3.49","1.65","313","97.9","18","100.5","2529","7.4",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.10","0.436","0.419","0.00",1,0,0,4,37,"6","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2020-09-23","84.1","-1.39","6.25","Brandon Nimmo",607043,607192,"null","ball",,,,,"14","null","R","L","R","NYM","TB","B","null","null",2,2,2020,"0.71","-1.47","0.32","1.28","null","null","null",2,5,"Bot","null","null",,,"572287",,"null",2.58565824183927,-122.33143565438182,-2.1082152665687084,6.425461108321837,28.352861972700303,-46.52458302832656,"3.62","1.69","null","null","null","84.8","3170","7.1",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.35","null","null","null","null","null","null","null",37,"5","Curveball",2,2,2,2,2,2,2,2,"Standard","Standard"
"FF","2020-09-23","99.7","-1.63","5.94","Brandon Nimmo",607043,607192,"null","called_strike",,,,,"9","null","R","L","R","NYM","TB","S","null","null",2,1,2020,"-0.15","1.59","0.74","2.13","null","null","null",2,5,"Bot","null","null",,,"572287",,"null",7.014289450193484,-144.894698021485,-9.032154135373933,-3.6883033486699643,32.16251079835775,-7.8452822596832545,"3.73","1.80","null","null","null","102.0","2482","7.5",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.01","null","null","null","null","null","null","null",37,"4","4-Seam Fastball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2020-09-23","83.0","-1.36","6.22","Brandon Nimmo",607043,607192,"null","ball",,,,,"14","null","R","L","R","NYM","TB","B","null","null",1,1,2020,"0.71","-1.63","1.10","2.64","null","null","null",2,5,"Bot","null","null",,,"572287",,"null",4.2861327923842,-120.7590933747303,1.617645430535942,5.927513773796303,26.75827829231209,-48.56033646623031,"3.65","1.72","null","null","null","83.6","3269","7.0",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.52","null","null","null","null","null","null","null",37,"3","Curveball",2,2,2,2,2,2,2,2,"Standard","Standard"
"CH","2020-09-23","92.6","-2.03","5.80","Brandon Nimmo",607043,607192,"null","swinging_strike",,,,,"13","null","R","L","R","NYM","TB","S","null","null",1,0,2020,"-1.34","0.73","-1.07","1.68","null","null","null",2,5,"Bot","null","null",,,"572287",,"null",5.498744830997941,-134.6674325045756,-6.43516152520425,-17.4878678518997,28.99847041043213,-22.04805181123124,"3.49","1.65","null","null","null","94.5","1820","7.4",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.08","null","null","null","null","null","null","null",37,"2","Changeup",2,2,2,2,2,2,2,2,"Standard","Standard"
"CU","2020-09-23","82.5","-1.61","6.24","Brandon Nimmo",607043,607192,"null","ball",,,,,"14","null","R","L","R","NYM","TB","B","null","null",0,0,2020,"0.73","-1.50","0.20","0.77","null","null","null",2,5,"Bot","null","null",,,"572287",,"null",2.7210345409483367,-120.09450121507228,-2.92714166524056,6.391449453785938,27.061973830296854,-46.118491086243544,"3.65","1.65","null","null","null","83.3","3135","7.2",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.32","null","null","null","null","null","null","null",37,"1","Curveball",2,2,2,2,2,2,2,2,"Standard","Standard"
